,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,
0,0.02284414,0.026454874,0.023960472,0.023293168,0.022951612,0.023055429,0.02274531,0.023118289,0.023106012,0.02289153,0.023321084,0.022842219,0.023275381,0.023227259,0.02417168,0.023546641,0.023425319,1048576,24563.22713
1,0.016935658,0.022232199,0.017873462,0.015283594,0.01553913,0.0162743,0.01608379,0.015702414,0.016257006,0.01646312,0.015566658,0.015795172,0.016973769,0.01609546,0.016167247,0.016642444,0.016617839,1048576,17425.067
2,0.03502639,0.04476036,0.037262976,0.033237532,0.031549143,0.032226569,0.032348717,0.031552357,0.031415815,0.032356559,0.031938561,0.030232579,0.032672364,0.032791395,0.032123911,0.031918405,0.033338352,1048576,34957.79581
3,0.026278454,0.039940567,0.036636768,0.03399577,0.034320122,0.036230907,0.036733276,0.036280491,0.036707771,0.037596985,0.037136265,0.035660259,0.038385838,0.037791424,0.03700106,0.037892262,0.036161764,262144,9479.589375
4,0.079903923,0.105355476,0.096382442,0.090369423,0.086189846,0.087614685,0.088112576,0.087185337,0.086857082,0.088181904,0.086970524,0.084583405,0.088843998,0.088864548,0.086192192,0.086984913,0.088662017,262144,23242.21581
5,0.017383392,0.036958572,0.035501251,0.030687561,0.033841766,0.03745491,0.036079636,0.034649002,0.035297989,0.037717834,0.037614395,0.035125626,0.037318893,0.036413055,0.038866302,0.037561127,0.034904457,65536,2287.4985
6,0.16894371,0.244568161,0.236629593,0.221578217,0.21895047,0.222903366,0.221602051,0.219518585,0.220816162,0.222928864,0.219862839,0.215398315,0.224398712,0.222295059,0.218253067,0.220668701,0.219957242,65536,14415.11781
7,0.015032043,0.055479187,0.051529175,0.051282776,0.053012939,0.055386963,0.054618347,0.054859497,0.055390747,0.055274048,0.055817444,0.055266113,0.055935425,0.057366028,0.054369995,0.057255066,0.052367237,16384,857.9848125
8,0.337257935,0.580184631,0.558562256,0.535081482,0.534801514,0.545869812,0.536515198,0.535742493,0.536614258,0.543664551,0.537043091,0.531448364,0.542320374,0.541655212,0.537266846,0.539410889,0.529589931,16384,8676.801438
9,0.015799316,0.031550537,0.029828613,0.029298584,0.030886719,0.031780151,0.03206604,0.032214844,0.032824097,0.031471191,0.033080078,0.032526001,0.032617188,0.033393921,0.032008545,0.034206299,0.030972008,8192,253.7226875
10,0.015121582,0.06397998,0.061254883,0.060374146,0.061633301,0.0617146,0.061630981,0.0613573,0.061822388,0.060115479,0.062196899,0.061045532,0.060916504,0.062141113,0.059470337,0.062155884,0.058558182,8192,479.708625
11,0.019728027,0.06550708,0.058872559,0.057475098,0.059647217,0.060715698,0.06085376,0.06130127,0.062170776,0.060454834,0.062601929,0.061872681,0.062032104,0.063088379,0.060832397,0.06459436,0.058859261,8192,482.1750625
12,0.009500488,0.058474121,0.055624512,0.056285156,0.058758789,0.05870166,0.058732422,0.059441406,0.059227539,0.058643066,0.059317383,0.059375977,0.058340332,0.059263672,0.058022949,0.05870459,0.055400879,2048,113.461
13,0.059553711,0.269682129,0.249368164,0.24729834,0.256818359,0.259373047,0.260605957,0.263005859,0.265864258,0.260225098,0.267273926,0.265893066,0.264674316,0.268729004,0.261875488,0.273550293,0.249611938,2048,511.20525
14,0.049503906,0.063429688,0.069585938,0.073871094,0.077015625,0.079632813,0.079246094,0.079617188,0.079832031,0.080669922,0.079916016,0.079876953,0.079486328,0.081056641,0.077162109,0.081142578,0.075690308,512,38.7534375
15,0.176765625,0.77946875,0.767742188,0.774025391,0.800730469,0.809841797,0.811738281,0.818351563,0.823144531,0.814005859,0.826015625,0.824660156,0.821570313,0.831527344,0.814371094,0.842859375,0.771051147,512,394.7781875
,,,,,,,,,,,,,,,,,,3863552,138179.1019
,,,,,,,,,,,,,,,,,,,0.035764784
