,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,33212.0,37586.0,35019.0,36033.0,35051.0,36518.0,29100.0,43133.0,33340.0,35503.0,37619.0,37112.0,36102.0,29769.0,44663.0,34331.0,1048576
1,25637.0,29805.0,31889.0,22084.0,20842.0,22357.0,23286.0,22891.0,19980.0,28045.0,22434.0,20841.0,20192.0,22898.0,23044.0,21585.0,1048576
2,49367.0,57143.0,57019.0,47033.0,41570.0,47592.0,39944.0,53641.0,40014.0,52971.0,48911.0,43816.0,44971.0,39936.0,54937.0,41896.0,1048576
3,10487.0,14740.0,14705.0,12453.0,10731.0,12432.0,10726.0,14198.0,10709.0,13050.0,12994.0,11543.0,12208.0,10920.0,14334.0,11003.0,262144
4,29761.0,32403.0,34557.0,29010.0,26297.0,28642.0,27589.0,30324.0,24334.0,31513.0,29423.0,27089.0,27121.0,27221.0,30913.0,25491.0,262144
5,1708.0,3268.0,3334.0,2646.0,2468.0,2936.0,2635.0,3124.0,2343.0,3076.0,2802.0,2701.0,3070.0,2668.0,3304.0,2529.0,65536
6,15954.0,18674.0,19447.0,16957.0,15391.0,17115.0,17148.0,17128.0,14337.0,17843.0,17076.0,15846.0,16151.0,16846.0,17476.0,15362.0,65536
7,338.0,1083.0,968.0,997.0,838.0,1013.0,965.0,981.0,825.0,1012.0,1045.0,924.0,931.0,999.0,968.0,939.0,16384
8,7856.0,9907.0,10210.0,9313.0,8617.0,9460.0,9687.0,9377.0,8038.0,9720.0,9507.0,8833.0,9003.0,9504.0,9584.0,8735.0,16384
9,103.0,313.0,252.0,315.0,288.0,312.0,305.0,299.0,282.0,281.0,297.0,306.0,323.0,280.0,305.0,323.0,8192
10,112.0,606.0,500.0,577.0,587.0,599.0,599.0,497.0,523.0,546.0,578.0,511.0,551.0,542.0,530.0,578.0,8192
11,132.0,569.0,472.0,564.0,511.0,535.0,513.0,530.0,478.0,515.0,548.0,522.0,561.0,488.0,550.0,536.0,8192
12,25.0,163.0,110.0,157.0,142.0,163.0,149.0,125.0,158.0,162.0,148.0,144.0,146.0,157.0,135.0,150.0,2048
13,109.0,607.0,499.0,609.0,522.0,592.0,553.0,514.0,514.0,572.0,577.0,551.0,584.0,515.0,571.0,565.0,2048
14,25.0,34.0,29.0,40.0,48.0,35.0,45.0,18.0,46.0,23.0,48.0,56.0,31.0,39.0,26.0,42.0,512
15,84.0,434.0,367.0,456.0,412.0,437.0,426.0,359.0,405.0,435.0,463.0,434.0,418.0,412.0,400.0,430.0,512
