,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,11198.0,11360.0,12369.0,13459.0,12673.0,14215.0,11518.0,13291.0,12259.0,12143.0,13312.0,11612.0,12826.0,12528.0,13372.0,13274.0,524288
1,17655.0,17588.0,20033.0,19404.0,18751.0,18605.0,17667.0,19969.0,18149.0,19678.0,18449.0,18212.0,18797.0,18337.0,19390.0,18370.0,524288
2,4347.0,4580.0,5504.0,4701.0,5299.0,4838.0,4361.0,5012.0,4298.0,5305.0,4194.0,4616.0,4576.0,4808.0,4873.0,4584.0,524288
3,1568.0,1781.0,1867.0,2007.0,2014.0,2047.0,1991.0,1859.0,1879.0,2063.0,1850.0,2196.0,1761.0,2041.0,2140.0,2120.0,131072
4,719.0,766.0,848.0,1051.0,923.0,1027.0,966.0,904.0,939.0,996.0,923.0,1082.0,921.0,947.0,1009.0,1125.0,131072
5,58.0,106.0,135.0,252.0,187.0,259.0,213.0,179.0,242.0,191.0,186.0,255.0,158.0,238.0,230.0,342.0,32768
6,43.0,95.0,103.0,234.0,209.0,270.0,178.0,170.0,250.0,158.0,193.0,244.0,206.0,244.0,188.0,363.0,32768
7,0.0,3.0,1.0,10.0,8.0,15.0,10.0,5.0,14.0,2.0,4.0,5.0,15.0,14.0,4.0,25.0,8192
8,0.0,7.0,7.0,29.0,29.0,52.0,28.0,28.0,49.0,20.0,21.0,34.0,41.0,45.0,16.0,81.0,8192
9,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,4.0,2048
10,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2048
11,0.0,0.0,32.0,0.0,0.0,32.0,0.0,1.0,22.0,9.0,1.0,22.0,7.0,3.0,21.0,8.0,512
12,0.0,0.0,6.0,0.0,0.0,16.0,0.0,1.0,4.0,0.0,0.0,8.0,0.0,0.0,5.0,0.0,512
13,12.0,20.0,20.0,20.0,12.0,25.0,13.0,21.0,20.0,19.0,15.0,23.0,15.0,18.0,22.0,18.0,128
14,5.0,20.0,18.0,16.0,10.0,22.0,10.0,19.0,19.0,14.0,13.0,14.0,15.0,14.0,20.0,12.0,128
